step 4950 | loss 2.0361 | step time 11.93ms
step 4960 | loss 2.1169 | step time 11.68ms
step 4970 | loss 2.1423 | step time 12.21ms
step 4980 | loss 2.2177 | step time 11.56ms
step 4990 | loss 2.0654 | step time 11.29ms
step 5000 | loss 2.1671 | step time 12.18ms
step 5000 train loss: 2.1188409328460693 test loss: 2.1012325286865234
test loss 2.1012325286865234 is the best so far, saving model to Transformer/model.pt
step 5010 | loss 1.9668 | step time 12.34ms
step 5020 | loss 2.1620 | step time 12.32ms
step 5030 | loss 1.9311 | step time 11.73ms
step 5040 | loss 2.1894 | step time 12.01ms
step 5050 | loss 2.1753 | step time 11.29ms
step 5060 | loss 2.1461 | step time 11.74ms
step 5070 | loss 2.1424 | step time 12.21ms
step 5080 | loss 2.2820 | step time 11.96ms
step 5090 | loss 2.1023 | step time 13.11ms
step 5100 | loss 2.2278 | step time 12.66ms
step 5110 | loss 2.1790 | step time 19.89ms
step 5120 | loss 2.0791 | step time 12.01ms
step 5130 | loss 2.2146 | step time 11.90ms
step 5140 | loss 2.1948 | step time 11.57ms
step 5150 | loss 2.1845 | step time 12.17ms
step 5160 | loss 2.0382 | step time 11.18ms
step 5170 | loss 2.0609 | step time 11.31ms
step 5180 | loss 2.0597 | step time 11.19ms
step 5190 | loss 2.0432 | step time 12.49ms
step 5200 | loss 2.1891 | step time 11.24ms
step 5210 | loss 2.1368 | step time 11.01ms
step 5220 | loss 2.1055 | step time 11.32ms
step 5230 | loss 2.1962 | step time 11.30ms
step 5240 | loss 2.1932 | step time 11.12ms
step 5250 | loss 2.0951 | step time 11.17ms
step 5260 | loss 2.1299 | step time 11.21ms
step 5270 | loss 1.9800 | step time 11.63ms
step 5280 | loss 2.0777 | step time 11.38ms
step 5290 | loss 2.0415 | step time 11.52ms
step 5300 | loss 2.0969 | step time 11.43ms
step 5310 | loss 2.1611 | step time 11.26ms
step 5320 | loss 2.0095 | step time 11.08ms
step 5330 | loss 2.2468 | step time 11.17ms
step 5340 | loss 1.9143 | step time 11.43ms
step 5350 | loss 2.1458 | step time 10.98ms
step 5360 | loss 2.1488 | step time 11.32ms
step 5370 | loss 2.1859 | step time 11.64ms
step 5380 | loss 2.1614 | step time 11.27ms
step 5390 | loss 2.0767 | step time 11.34ms
step 5400 | loss 2.0436 | step time 11.39ms
step 5410 | loss 2.0597 | step time 11.73ms
step 5420 | loss 2.1221 | step time 11.36ms
step 5430 | loss 2.2847 | step time 11.26ms
step 5440 | loss 2.0873 | step time 11.18ms
step 5450 | loss 2.0210 | step time 11.32ms
step 5460 | loss 2.0513 | step time 11.25ms
step 5470 | loss 2.0546 | step time 11.11ms
step 5480 | loss 2.0182 | step time 11.45ms
step 5490 | loss 2.0778 | step time 11.34ms
step 5500 | loss 2.1403 | step time 11.59ms
step 5500 train loss: 2.0763773918151855 test loss: 2.0904011726379395
test loss 2.0904011726379395 is the best so far, saving model to Transformer/model.pt
step 5510 | loss 1.9946 | step time 11.47ms
step 5520 | loss 2.1982 | step time 11.29ms
step 5530 | loss 2.1809 | step time 11.61ms
step 5540 | loss 2.1949 | step time 11.41ms
step 5550 | loss 2.0986 | step time 11.36ms
step 5560 | loss 1.9379 | step time 11.24ms
